id,date,season,city,venue,team1,team2,toss_winner,toss_decision,winner,result,dl_applied,player_of_match,season_int
1359475,2023-03-31,2023,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",chennai super kings,gujarat titans,gujarat titans,field,gujarat titans,normal,0,Rashid Khan,2023
1359476,2023-04-01,2023,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",kolkata knight riders,punjab kings,kolkata knight riders,field,punjab kings,D/L,1,Arshdeep Singh,2023
1359477,2023-04-01,2023,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",lucknow super giants,delhi capitals,delhi capitals,field,lucknow super giants,normal,0,MA Wood,2023
1359478,2023-04-02,2023,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",sunrisers hyderabad,rajasthan royals,sunrisers hyderabad,field,rajasthan royals,normal,0,JC Buttler,2023
1359479,2023-04-02,2023,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",royal challengers bengaluru,mumbai indians,royal challengers bengaluru,field,royal challengers bengaluru,normal,0,F du Plessis,2023
1359480,2023-04-03,2023,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",lucknow super giants,chennai super kings,lucknow super giants,field,chennai super kings,normal,0,MM Ali,2023
1359481,2023-04-04,2023,Delhi,"Arun Jaitley Stadium, Delhi",gujarat titans,delhi capitals,gujarat titans,field,gujarat titans,normal,0,B Sai Sudharsan,2023
1359482,2023-04-05,2023,Guwahati,"Barsapara Cricket Stadium, Guwahati",rajasthan royals,punjab kings,rajasthan royals,field,punjab kings,normal,0,NT Ellis,2023
1359483,2023-04-06,2023,Kolkata,"Eden Gardens, Kolkata",royal challengers bengaluru,kolkata knight riders,royal challengers bengaluru,field,kolkata knight riders,normal,0,SN Thakur,2023
1359484,2023-04-07,2023,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",sunrisers hyderabad,lucknow super giants,sunrisers hyderabad,bat,lucknow super giants,normal,0,KH Pandya,2023
1359486,2023-04-08,2023,Mumbai,"Wankhede Stadium, Mumbai",mumbai indians,chennai super kings,chennai super kings,field,chennai super kings,normal,0,RA Jadeja,2023
